timestamp,mouse_x,mouse_y,mouse_velocity,scroll_velocity,mouse1,mouse2,mouse3,pressed_keys
1761330678.4109,656,602,0.0,0.0,False,False,False,
1761330678.531,655,602,8.274,0.0,False,False,False,
1761330678.6341,697,602,1555.84,0.0,False,False,False,
1761330678.7386,852,546,1743.077,0.0,False,False,False,
1761330678.8415,593,506,1898.197,0.0,False,False,False,
1761330678.9453,852,677,1629.819,0.0,False,False,False,
1761330679.0502,685,522,4274.116,0.0,False,False,False,
1761330679.1544,680,559,3569.132,0.0,False,False,False,
1761330679.2584,869,591,2025.572,0.0,False,False,False,
1761330679.3625,557,519,175.54,0.0,False,False,False,
1761330679.4911,752,581,167.659,0.0,False,False,False,
1761330679.5942,559,541,337.543,0.0,False,False,False,
1761330679.6974,790,582,484.278,0.0,False,False,False,
1761330679.8027,430,470,1307.666,0.0,False,False,False,
1761330679.9065,597,538,119.438,0.0,False,False,False,
1761330680.0104,431,489,0.0,0.0,False,False,False,
1761330680.1225,652,559,60.354,0.0,False,False,False,
1761330680.2261,529,530,127.042,0.0,False,False,False,
1761330680.3303,840,651,2379.238,0.0,False,False,False,
1761330680.4345,595,578,3115.257,0.0,False,False,False,
1761330680.5388,691,592,2612.111,0.0,False,False,False,
1761330680.6426,606,562,3474.588,0.0,False,False,False,
1761330680.7461,694,597,3263.136,0.0,False,False,False,
1761330680.8503,632,594,2055.545,0.0,False,False,False,
1761330681.1853,609,589,4.547,0.0,False,False,False,
1761330681.2909,576,584,974.372,0.0,False,False,False,
1761330681.4429,559,575,16.69,0.0,False,False,False,
1761330681.547,465,767,60.684,0.0,False,False,False,
1761330681.6503,562,706,1205.035,0.0,False,False,False,
1761330681.7542,674,698,9834.366,0.0,False,False,False,
1761330681.8583,513,628,5826.458,0.0,False,False,False,
1761330681.9625,708,715,5200.387,0.0,False,False,False,
1761330682.0662,613,552,5340.125,0.0,False,False,False,
1761330682.1704,561,533,7963.724,0.0,False,False,False,
1761330682.2744,631,507,2422.989,0.0,False,False,False,
1761330682.3784,756,623,6497.194,0.0,False,False,False,
1761330682.4826,746,564,3087.085,0.0,False,False,False,
1761330682.6025,672,564,31.665,0.0,False,False,False,
1761330682.7881,662,573,79.222,0.0,False,False,False,a
1761330682.8998,662,573,79.222,0.0,False,False,False,"v,a"
1761330683.0252,662,573,79.222,0.0,False,False,False,"f,j,d"
1761330683.129,662,573,79.222,0.0,False,False,False,"n,v"
1761330683.2333,662,573,79.222,0.0,False,False,False,"f,k,d"
1761330683.3521,662,573,79.222,0.0,False,False,False,"s,v"
1761330683.4842,662,573,79.222,0.0,False,False,False,"s,l,f,v,d"
1761330683.5913,662,573,79.222,0.0,False,False,False,"s,v,d"
1761330683.698,662,573,79.222,0.0,False,False,False,"l,f,s,v,d"
1761330683.8037,662,573,79.222,0.0,False,False,False,"s,n,v,d"
1761330683.9209,662,573,79.222,0.0,False,False,False,"l,s,f,k,n,d"
1761330684.0265,662,573,79.222,0.0,False,False,False,v
1761330684.4424,662,570,1.675,0.0,False,False,False,
1761330684.5872,686,523,387.465,0.0,False,False,False,
1761330684.7402,686,522,12.361,0.0,False,False,False,
1761330684.9386,680,517,15.585,0.0,False,False,False,
1761330685.0426,559,530,753.535,0.0,False,False,False,
1761330685.1463,453,544,2075.516,0.0,False,False,False,
1761330685.2599,422,556,0.0,0.0,True,False,False,
1761330685.3631,423,538,240.81,0.0,True,False,False,
1761330685.4673,444,517,1013.698,0.0,True,False,False,
1761330685.5715,545,533,842.347,0.0,True,False,False,
1761330685.6743,669,553,959.822,0.0,True,False,False,
1761330685.7783,811,533,1345.223,0.0,True,False,False,
1761330685.8832,821,501,714.742,0.0,True,False,False,
1761330685.9873,693,487,1213.668,0.0,False,False,False,
1761330686.0916,660,516,81.933,0.0,False,False,False,
1761330686.212,662,516,42.571,13.744,False,False,False,
1761330686.3241,663,516,127.992,39.816,False,False,False,
1761330686.428,670,509,121.335,0.0,False,False,False,
1761330686.5304,671,501,0.0,0.0,False,False,False,
1761330686.636,665,521,126.072,30.388,False,False,False,
1761330686.7545,667,509,78.137,0.0,False,False,False,
1761330686.8595,637,515,0.0,0.0,False,False,False,
1761330686.9635,664,488,709.118,0.0,False,False,False,
1761330687.0675,889,428,3747.552,0.0,False,False,False,
1761330687.1714,1132,178,780.961,0.0,False,False,False,
1761330687.2742,1249,161,922.911,0.0,False,False,False,
1761330687.379,1265,270,1211.605,0.0,False,False,False,
1761330687.4835,1258,311,352.472,0.0,False,False,False,
1761330687.5952,1237,374,62.9,0.0,False,False,False,
1761330687.7474,1245,377,23.257,0.0,False,False,False,
1761330687.9159,1259,373,138.642,0.0,True,False,False,
1761330688.0274,1256,373,62.128,0.0,True,False,False,
1761330688.1636,1256,374,7.343,0.0,False,False,False,
